iter	Passed	Remaining
0	20	20238
1	36	18170
2	59	19891
3	66	16459
4	73	14671
5	80	13368
6	89	12641
7	94	11667
8	125	13815
9	143	14180
10	154	13853
11	172	14222
12	193	14668
13	211	14902
14	221	14547
15	247	15198
16	269	15558
17	286	15608
18	307	15864
19	321	15735
20	341	15918
21	356	15837
22	377	16051
23	393	16017
24	417	16283
25	434	16280
26	448	16158
27	461	16008
28	474	15880
29	508	16447
30	543	17002
31	553	16738
32	565	16579
33	585	16621
34	607	16747
35	616	16507
36	629	16392
37	652	16530
38	667	16448
39	674	16186
40	683	15982
41	698	15933
42	713	15875
43	726	15792
44	741	15728
45	755	15668
46	769	15593
47	785	15574
48	799	15520
49	813	15459
50	828	15421
51	841	15348
52	859	15365
53	873	15302
54	888	15259
55	904	15254
56	919	15209
57	934	15185
58	951	15172
59	965	15129
60	981	15110
61	997	15097
62	1005	14954
63	1038	15183
64	1062	15290
65	1076	15237
66	1093	15229
67	1107	15176
68	1123	15159
69	1138	15130
70	1152	15079
71	1164	15014
72	1179	14974
73	1190	14896
74	1208	14900
75	1219	14826
76	1242	14893
77	1252	14804
78	1266	14769
79	1287	14808
80	1303	14789
81	1315	14731
82	1329	14689
83	1341	14625
84	1357	14613
85	1370	14567
86	1384	14532
87	1399	14501
88	1410	14435
89	1425	14415
90	1448	14464
91	1511	14918
92	1547	15090
93	1592	15345
94	1617	15407
95	1631	15363
96	1644	15307
97	1660	15279
98	1680	15295
99	1692	15230
100	1707	15195
101	1718	15130
102	1732	15091
103	1750	15078
104	1769	15086
105	1784	15052
106	1799	15016
107	1818	15018
108	1833	14990
109	1846	14937
110	1873	15006
111	1896	15036
112	1911	15001
113	1936	15053
114	1949	15000
115	1961	14951
116	1983	14967
117	1998	14934
118	2009	14880
119	2027	14869
120	2041	14828
121	2057	14810
122	2072	14779
123	2089	14759
124	2104	14731
125	2117	14687
126	2133	14666
127	2153	14667
128	2165	14622
129	2182	14608
130	2192	14544
131	2198	14455
132	2203	14367
133	2208	14273
134	2214	14187
135	2221	14110
136	2228	14039
137	2234	13956
138	2239	13869
139	2244	13790
140	2250	13711
141	2255	13627
142	2260	13549
143	2266	13473
144	2272	13398
145	2277	13322
146	2283	13248
147	2287	13171
148	2293	13099
149	2299	13031
150	2306	12968
151	2312	12900
152	2316	12826
153	2322	12757
154	2328	12691
155	2333	12625
156	2339	12563
157	2344	12496
158	2351	12438
159	2359	12386
160	2367	12337
161	2379	12308
162	2392	12283
163	2431	12394
164	2469	12494
165	2496	12541
166	2519	12565
167	2542	12593
168	2567	12625
169	2586	12629
170	2606	12635
171	2621	12617
172	2639	12616
173	2650	12583
174	2659	12537
175	2671	12509
176	2685	12485
177	2695	12448
178	2710	12433
179	2726	12418
180	2738	12390
181	2756	12388
182	2771	12374
183	2790	12373
184	2806	12365
185	2817	12330
186	2830	12305
